,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3965,20241104,101670,95917,95912,101119,1914,1740,1963,1848,1,13,1938,25.360,1963,1848,1,13,124.790,6306069,2744911,3425464,9411,12398,523,4.900,24.970,17.910,11370,5031,3045,1510,3575,1510,-0.003,-0.093,-0.057,142,427,하이드로리튬,-0.048
3964,20241104,247540,95633,95631,100840,189200,172000,189100,185600,19,3,186200,9.720,189100,185600,19,3,172.580,901792,323724,558699,16915,22727,64,2.330,30.000,9.660,463,164871,193000,156600,193000,148700,-0.003,-0.035,-0.023,137,205,에코프로비엠,-0.023
3963,20241104,004840,95106,95103,100317,5250,4770,5850,5270,18,20,5620,16.360,5850,5270,18,20,114.830,1341239,594426,682559,4012,4465,111,0.240,16.360,7.490,7341,61136,4830,4505,5170,4495,0.068,-0.071,-0.071,207,760,DRB동일,-0.048
3962,20241104,214610,94511,94508,95716,1940,1763,1998,1906,0,19,1994,25.410,1998,1906,0,19,128.450,6569827,2834971,3641408,9562,11662,516,1.970,25.410,6.290,12145,26511,2020,1397,3055,1275,0.008,-0.053,-0.027,569,282,미코바이오메드,-0.048
3961,20241104,200350,93231,93231,94442,16260,14780,17470,16280,13,20,16980,16.220,17470,16280,13,20,108.880,1465645,687673,748736,10567,12279,127,1.780,16.500,7.490,23972,18510,14610,10570,14610,10050,0.118,-0.005,0.118,555,141,래몽래인,0.114
3960,20241104,215100,93231,93225,94440,4060,3690,4120,3900,14,6,3945,4.780,4120,3900,14,6,95.690,1459779,699060,668934,3430,3624,52,0.800,7.080,6.600,1808,6057,4070,3130,4350,3130,0.009,-0.035,-0.005,96,593,로보로보,-0.005
3959,20241104,340930,92822,92820,94029,2400,2180,2430,2295,18,1,2315,6.190,2430,2295,18,1,107.950,122271,56198,60666,320,382,523,1.290,10.030,6.190,5357,287,2940,2180,3100,2100,0.037,-0.002,0.028,106,83,유일에너테크,0.028
3958,20241104,460470,92808,92802,94017,5220,4740,5220,5050,20,1,5060,6.410,5220,5050,20,1,184.720,115329,39424,72824,369,551,562,0.820,12.870,7.450,1324,5771,6750,4755,13360,4755,0.010,-0.034,-0.022,111,634,아이빔테크놀로지,-0.022
3957,20241104,009730,92627,92626,93831,1617,1470,1674,1600,16,16,1624,8.270,1674,1600,16,16,127.440,2243986,953135,1214642,3442,4575,223,1.690,8.270,4.110,3589,2998,1697,969,2170,969,0.164,-0.005,0.050,157,82,이렘,0.120
3956,20241104,052420,92452,92447,93707,1947,1770,1957,1905,20,6,1922,13.860,1957,1905,20,6,96.710,21920718,10844921,10488078,21784,25736,408,2.600,13.740,6.590,41364,2985,2255,1650,2815,1650,-0.007,-0.059,-0.057,74,591,오성첨단소재,-0.048
3955,20241104,351870,91852,91847,93056,8350,7580,8580,7900,20,10,8110,8.710,8580,7900,20,10,92.060,117914,54027,49737,711,752,562,1.000,8.710,7.920,965,30154,22250,7460,22250,7460,0.085,-0.023,0.012,115,68,차이커뮤니케이션,0.012
3954,20241104,043220,91852,91847,93054,564,512,576,549,16,12,568,10.940,576,549,16,12,163.890,348705,125924,206381,214,322,329,1.330,10.940,10.090,195,149,725,498,725,410,0.070,-0.011,0.023,105,69,티에스넥스젠,0.023
3953,20241104,214610,91641,91634,92847,1763,1602,1831,1763,1,20,1811,13.900,1831,1763,1,20,144.710,2562605,1031251,1492273,3699,4533,175,0.900,30.000,13.900,400,4523,2020,1397,3055,1275,0.110,-0.025,0.071,569,69,미코바이오메드,0.071
3952,20241104,234920,91452,91452,92701,4180,3800,4225,4225,0,0,4225,30.000,4225,4225,0,0,51.450,98720,41900,21559,327,384,503,2.190,30.000,3.080,398,28,4750,3130,6470,3130,0.000,0.000,0.000,54,54,자이글,-0.004
3951,20241104,418550,91450,91445,92658,21250,19300,22250,20150,19,0,20300,5.180,22250,20150,19,0,98.900,984508,460982,455893,5451,5696,242,1.500,5.180,2.590,20865,69,19930,16360,19930,14210,0.054,-0.018,-0.015,327,198,제이오,-0.015
3950,20241104,139670,91251,91250,92456,2950,2680,3040,2730,18,5,2750,4.560,3040,2730,18,5,70.320,77570,43634,30685,396,472,288,0.080,4.560,3.410,222,73,3040,2625,3610,2625,0.005,-0.018,-0.007,631,171,키네마스터,-0.007
3949,20241104,234920,91214,91214,92419,3580,3250,4225,3570,0,20,4225,30.000,4225,3570,0,20,63.820,90599,33779,21559,312,384,503,2.200,30.000,3.490,364,27,4750,3130,6470,3130,0.000,0.000,0.000,48,48,자이글,-0.004
3948,20241104,437730,90937,90937,92147,11610,10550,12220,11620,11,19,11870,16.370,12220,11620,11,19,101.990,2798824,1293147,1318932,16306,18516,549,1.090,16.370,8.090,31661,505,10200,7389,10200,6125,0.090,-0.094,0.036,743,119,삼현,-0.048
3947,20241104,039310,90802,90756,92012,1857,1688,1840,1695,20,2,1740,4.000,1840,1695,20,2,90.790,79103,37764,34285,207,274,147,11.510,29.980,29.890,1283,2350,1754,1563,1855,1483,0.011,-0.031,-0.007,48,310,세중,-0.007
3946,20241104,073570,90735,90730,91942,1745,1586,1744,1666,20,18,1706,7.570,1744,1666,20,18,156.180,400879,149593,233635,577,836,45,1.830,7.570,2.000,680,0,2735,1586,3135,1586,0.106,-0.030,0.010,140,46,리튬포어스,0.010
3945,20241104,298060,90621,90617,91826,2895,2630,2970,2720,19,12,2835,16.670,2970,2720,19,12,101.840,2531371,1109120,1129532,5649,6392,66,2.120,16.460,13.310,7030,30858,2430,1870,2705,1870,0.111,-0.044,-0.023,739,60,에스씨엠생명과학,0.110
3944,20241104,221800,90621,90615,91824,3615,3285,3575,3380,20,7,3430,5.050,3575,3380,20,7,65.490,361494,211809,138714,1289,1319,436,0.460,13.370,10.820,30844,2190,3640,2810,4960,2810,0.016,-0.066,-0.066,37,760,유투바이오,-0.048
3943,20241104,039130,90602,90557,91812,57400,52100,57100,53100,19,0,53100,10.620,57100,53100,19,0,83.980,421104,214036,179754,6188,5355,147,11.740,29.980,29.890,1265,2212,51000,46900,51000,44700,0.002,-0.047,-0.041,37,80,하나투어,-0.041
3942,20241104,038390,90518,90517,91724,18150,16500,18140,16450,19,0,16490,4.370,18140,16450,19,0,102.850,216284,99455,102286,2349,2333,147,12.460,29.980,29.890,1239,2200,15980,15560,16160,15150,0.003,-0.030,-0.024,34,61,레드캡투어,-0.024
3941,20241104,210120,90516,90512,91722,28900,26250,28850,26300,20,3,27000,17.390,28850,26300,20,3,91.140,79717,37785,34439,819,997,127,1.710,16.300,8.470,2200,1174,26700,13150,26700,11130,-0.007,-0.120,-0.011,684,68,빅텐츠,-0.048
3940,20241104,263050,90430,90426,91633,2440,2215,2495,2350,17,0,2350,4.910,2495,2350,17,0,93.430,128607,58056,54242,212,241,448,0.660,14.820,4.910,29472,303,2880,2140,3600,2140,0.081,0.000,0.047,134,36,유틸렉스,0.047
3939,20241104,080160,90325,90322,91536,11750,10680,12450,11740,20,8,11840,21.310,12450,11740,20,8,99.100,834198,384089,380633,4400,5288,147,13.000,29.980,29.890,1228,2097,10950,9760,12810,9760,-0.003,-0.057,-0.037,31,51,모두투어,-0.048
3938,20241104,104620,90316,90310,91524,5680,5160,5780,5780,0,0,5780,29.890,5780,5780,0,0,48.490,373445,178967,86780,820,390,147,12.940,29.980,29.890,1222,2097,5260,4380,5920,4380,0.000,0.000,0.000,30,30,노랑풍선,-0.003
3937,20241104,078590,90248,90246,91454,695,631,694,635,20,0,644,3.540,694,635,20,0,83.460,572774,293792,245208,1649,1735,27,0.220,16.370,3.680,26140,70,658,543,784,543,0.000,-0.047,-0.037,39,301,휴림에이텍,-0.037
3936,20241104,101670,90239,90234,91443,1741,1582,1833,1685,13,19,1771,14.550,1833,1685,13,19,118.320,2109516,933136,1104081,3274,4124,523,1.580,14.170,6.940,3700,577,3045,1510,3575,1510,0.108,-0.060,0.032,140,58,하이드로리튬,-0.048
3935,20241104,210120,90221,90218,91431,27400,24900,28850,26250,15,20,27400,19.130,28850,26250,15,20,101.260,68972,30547,30932,653,842,127,1.580,19.130,6.850,1915,943,26700,13150,26700,11130,-0.009,-0.133,-0.026,29,68,빅텐츠,-0.048
3934,20241104,100590,90127,90126,91334,4035,3665,4020,3900,19,20,3935,9.000,4020,3900,19,20,116.750,854043,341239,398395,2047,2350,92,0.540,9.140,3.920,3345,383,3700,3300,3950,3285,0.004,-0.090,-0.085,31,755,머큐리,-0.048
3933,20241104,092730,90051,90050,91254,15150,13730,15100,13960,20,15,14440,9.390,15100,13960,20,15,91.390,116413,54961,50231,813,839,110,1.740,14.760,13.990,27579,6231,14005,11470,14005,10677,0.003,-0.033,-0.020,144,741,네오팜,-0.020
3932,20241104,104620,90030,90026,91241,5120,4450,5780,5160,0,20,5780,29.890,5780,5160,0,20,54.550,353560,159082,86780,749,390,147,13.470,29.980,29.890,1191,1982,5260,4380,5920,4380,0.000,0.000,0.000,25,25,노랑풍선,-0.003
3931,20241104,084010,90029,90025,91238,14810,13460,14700,14300,20,19,14400,6.980,14700,14300,20,19,45.620,104731,53260,24297,609,441,62,0.980,6.980,2.130,1518,136,13980,12950,13980,10950,0.090,-0.011,0.042,236,29,대한제강,0.042
3930,20241104,094850,90020,90020,91225,5620,4670,6070,4670,0,20,6070,29.980,6070,4670,0,20,66.960,202396,99208,66431,677,242,147,13.410,29.980,29.890,1190,1980,5130,4615,5770,4615,0.000,0.000,0.000,24,24,참좋은여행,-0.004
3929,20241101,244460,144450,144450,145655,5180,4695,5170,4770,8,15,4980,5.730,5170,4770,8,15,86.270,69861,34818,30037,330,381,493,-3.880,5.840,-0.140,335,287,-1,-1,-1,-1,0.012,-0.008,-0.002,738,723,올리패스,-0.002
3928,20241101,019490,143952,143950,145201,3735,3395,3850,3565,18,8,3770,23.610,3850,3565,18,8,88.950,3062727,1592916,1416869,8597,10021,28,3.670,23.610,4.730,10519,116674,-1,-1,-1,-1,0.049,-0.050,-0.037,733,757,하이트론,0.048
3927,20241101,175140,143538,143534,144747,5230,4750,5530,5090,20,16,5140,17.350,5530,5090,20,16,159.160,391668,145700,231900,1036,1627,99,-1.630,17.350,3.530,1896,167478,6310,4380,6770,4380,0.027,-0.014,0.019,701,699,휴먼테크놀로지,0.019
3926,20241101,100220,143336,143330,144540,5880,5340,6010,5830,13,15,5860,8.520,6010,5830,13,15,202.680,453460,146099,296112,1094,1789,52,-0.300,9.650,8.520,11149,2598,5400,4715,5400,4125,0.012,-0.010,0.012,760,718,비상교육,0.012
3925,20241101,200710,142636,142635,143840,21450,19500,21550,20450,3,16,21250,18.250,21550,20450,3,16,110.510,2456987,1108572,1225078,15724,17257,307,-1.590,18.250,3.980,48090,385,20650,14160,22800,14160,-0.009,-0.114,-0.105,681,759,에이디테크놀로지,-0.048
3924,20241101,200710,142108,142103,143319,19270,17510,21400,19470,9,20,21000,16.860,21400,19470,9,20,107.570,2103317,953874,1026106,13735,14798,307,-1.680,16.860,4.340,40670,385,20650,14160,22800,14160,0.017,-0.103,-0.094,674,759,에이디테크놀로지,-0.048
3923,20241101,019490,141416,141411,142619,3380,3070,3535,3255,16,0,3280,7.540,3535,3255,16,0,79.380,1599983,873058,693034,3259,3712,28,1.540,7.540,3.780,5214,109590,-1,-1,-1,-1,0.206,-0.005,0.107,733,652,하이트론,0.120
3922,20241101,082850,140317,140316,141524,4255,3865,4265,4175,17,1,4185,19.910,4265,4175,17,1,98.200,40000651,20030044,19668602,58822,71062,408,2.060,19.630,4.190,159186,25857,5040,3410,5850,3410,0.004,-0.056,-0.043,718,743,우리바이오,-0.048
