,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
3983,20250630,179530,-0.047,0.062,-0.047,-0.015,16,0,609988,353644,234190,1551,1541,3350,0.022,0.054,-0.082,5,45,181582,120075,61507,487,347,606,143400,3345,0.12,0.072,699,153000,3220,-0.03737,699,153000,3220,-0.03737,699,153000,3220,-0.03737,애드바이오텍,-0.03737
3982,20250630,123690,-0.014,-0.001,-0.041,-0.026,88,425,418362,241744,125262,1609,1483,8350,0.03,0.091,0.028,8,0,1578399,805346,773053,5712,5865,107,102430,8870,0.062,0.05,178,110000,9430,0.06313,189,110530,9540,0.07554,168,105500,9320,0.05073,한국화장품,0.06313
3981,20250630,115610,0.002,0.01,-0.07,-0.037,0,690,394835,245925,137820,811,578,1156,0.08,0.242,0.062,9,2,913498,427782,450678,2122,2371,88,101500,1331,0.12,0.072,467,132430,1235,-0.07213,508,134500,1216,-0.0864,386,124400,1254,-0.05785,이미지스,-0.07213
3980,20250630,103140,0.005,0.072,-0.01,0.038,121,12,1180391,567337,596387,22289,23789,136400,-0.03,-0.029,-0.084,0,46,139498,100616,38882,2953,2195,10,93600,129300,0.06,0.05,699,153000,128700,-0.00464,699,153000,128700,-0.00464,699,153000,128700,-0.00464,풍산,-0.00464
3979,20250630,090710,0.034,0.285,0.022,0.237,717,4,120500447,56159862,60723732,112942,146816,3130,0.086,0.152,0.085,5,0,16410164,8848734,7561430,23657,25877,25,94330,3525,0.062,0.05,699,153000,3495,-0.00851,699,153000,3495,-0.00851,188,110500,3380,-0.04113,휴림로봇,-0.00851
3978,20250630,058650,0,0.01,-0.02,-0.015,96,654,1995,1504,465,95,61,107000,0.09,0.252,0.078,26,8,9039,4186,4237,538,511,213,111730,125300,0.102,0.061,699,153000,124300,-0.00798,699,153000,124300,-0.00798,699,153000,124300,-0.00798,세아홀딩스,-0.00798
3977,20250630,079950,-0.002,0.013,-0.033,-0.017,45,718,111464,70928,32778,238,308,623,0.018,0.018,-0.05,0,30,54049,37533,16516,82,49,199,111030,620,0.071,0.05,699,153000,625,0.00806,699,153000,625,0.00806,699,153000,625,0.00806,인베니아,0.00806
3976,20250630,024720,0.011,0.216,0,0.189,748,7,17139697,8820428,8207178,108757,115234,17730,0.008,0.125,0.005,34,2,4251849,2091255,2160594,26926,30048,11,93630,19130,0.119,0.071,699,153000,18440,-0.03607,699,153000,18440,-0.03607,699,153000,18440,-0.03607,콜마홀딩스,-0.03607
3975,20250630,020760,0.015,0.299,0.009,0.299,41,0,5470870,2787645,2537671,4458,6635,981,0.096,0.12,0.02,0,15,1476807,896266,580541,2086,1907,0,93100,1052,0.098,0.059,238,113000,990,-0.05894,699,153000,1027,-0.02376,238,113000,1002,-0.04753,일진디스플,-0.05894
3974,20250630,060570,0.001,0.017,-0.013,-0.013,214,713,101496,48904,37209,449,374,1691,0.03,0.14,0.011,23,2,308831,154359,120254,696,739,81,101130,1844,0.12,0.072,699,153000,1845,0.00054,699,153000,1845,0.00054,699,153000,1845,0.00054,드림어스컴퍼니,0.00054
3973,20250630,052300,0.05,0.052,-0.02,-0.005,0,371,238771,138744,98356,650,602,3285,0.006,0.065,0.005,17,0,80838,48530,32308,209,198,355,122830,3395,0.061,0.05,699,153000,3320,-0.02209,699,153000,3320,-0.02209,699,153000,3320,-0.02209,오션인더블유,-0.02209
3972,20250630,048770,0.013,0.148,-0.002,0.141,109,37,754024,339241,349472,1721,2149,2200,0.002,0.064,-0.007,4,41,149890,76998,72892,481,433,45,95330,2265,0.071,0.05,440,131100,2150,-0.05077,547,140430,2125,-0.06181,353,122730,2170,-0.04194,TPC,-0.05077
3971,20250630,046120,0.16,0.235,-0.087,-0.051,5,603,13569681,7717895,5153813,32359,28648,5050,-0.072,-0.038,-0.099,22,2,1052723,585461,392786,1971,1924,6,93400,4725,0.068,0.05,699,153000,4530,-0.04127,699,153000,4530,-0.04127,663,150230,4535,-0.04021,오르비텍,-0.04127
3970,20250630,032860,0.004,0.061,-0.013,-0.012,377,6,58522,23665,26561,160,324,1145,0.1,0.144,0.012,3,7,129242,64388,30342,252,214,447,131430,1222,0.12,0.072,699,153000,1194,-0.02291,699,153000,1194,-0.02291,699,153000,1194,-0.02291,더라미,-0.02291
3969,20250630,032820,0.025,0.062,0.008,0.055,249,24,19432261,8203456,10496012,17852,26854,4425,0.043,0.166,0.04,15,0,12852144,6317167,6534977,15675,19814,48,95500,4920,0.12,0.072,699,153000,5000,0.01626,699,153000,5000,0.01626,699,153000,5000,0.01626,우리기술,0.01626
3968,20250630,025770,0.006,0.006,-0.099,-0.065,0,434,391017,238506,139680,2833,2902,10130,-0.018,-0.018,-0.084,0,24,65471,47810,17661,536,321,222,112200,9780,0.072,0.05,699,153000,9820,0.00409,699,153000,9820,0.00409,699,153000,9820,0.00409,한국정보통신,0.00409
3967,20250627,476040,0.029,0.3,0.017,0.195,701,1,6194329,3018765,3041161,53019,59302,35500,0.046,0.069,-0.013,1,42,457981,279971,178010,5502,3977,190,110600,36850,0.083,0.05,444,131300,35000,-0.0502,699,153000,35900,-0.02578,298,120000,35350,-0.04071,오가노이드사이언스,-0.0502
3966,20250627,440110,0.079,0.081,0.008,0.039,0,8,541850,307439,225036,6044,3755,12470,0.017,0.075,0.01,8,41,112229,64655,47574,1319,1080,31,94630,13080,0.064,0.05,699,153000,12640,-0.03364,699,153000,12640,-0.03364,610,143600,12560,-0.03976,파두,-0.03364
3965,20250627,435570,0.007,0.102,-0.004,0.028,251,2,1217543,599915,468259,12817,12286,18590,0.151,0.154,0.079,0,41,437294,314199,123095,4289,2786,52,95700,20900,0.07,0.05,70,100600,19850,-0.05024,84,101300,19640,-0.06029,59,100030,20050,-0.04067,에르코스,-0.05024
3964,20250627,418620,-0.034,0.027,-0.062,-0.057,108,709,602062,320169,266986,2170,2523,4060,0.031,0.052,-0.016,4,50,75780,53329,22451,326,288,144,104300,4145,0.069,0.05,501,134130,4435,0.06996,502,134200,4490,0.08323,496,133900,4375,0.05549,E8,0.06996
3963,20250627,376180,-0.016,0.052,-0.039,-0.027,179,36,660738,361201,283607,1908,2208,3015,0.108,0.204,0.103,2,0,2843314,1438891,1404423,5893,6364,30,94600,3510,0.092,0.055,166,105400,3315,-0.05556,178,110000,3275,-0.06695,108,102500,3355,-0.04416,피코그램,-0.05556
