,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3202,20250703,069920,123144,123142,133400,1628,1480,1629,1596,43,61,1613,8.110,1627,1613,17,0,141.820,195315,80020,113488,419,772,136,0.480,8.110,2.780,302,11964,2365,1479,3145,1128,0,0.005,-0.013,-0.010,719,671,엑시온그룹,-0.010
3201,20250703,007280,123100,123054,133313,1661,1502,1845,1619,92,32,1690,12.670,1780,1681,16,7,107.300,1704599,799947,858351,5258,6695,72,1.760,12.530,8.770,2994,9152,1661,1429,1905,1429,0,0.055,-0.113,-0.101,571,699,한국특강,-0.048
3200,20250703,455180,122258,122258,132508,6160,5600,6250,5900,32,64,5970,18.690,6030,5950,7,0,95.020,9229286,4690665,4457129,28934,37446,64,2.880,18.500,18.290,6597,53854,6380,5030,6380,5030,1,0.025,-0.061,-0.054,583,744,케이지에이,-0.048
3199,20250703,389140,122125,122124,132333,14960,13600,16100,14610,100,117,15390,13.920,15600,15330,15,1,98.830,2995468,1503618,1486029,22408,24490,48,2.290,13.840,3.720,26958,523,-1,-1,-1,-1,6,0.012,-0.059,-0.040,539,713,포바이포,-0.048
3198,20250703,275630,120308,120308,130519,3450,3135,3400,3130,119,71,3185,1.590,3235,3185,7,0,72.280,55088,28272,20436,311,334,55,0.380,5.000,3.530,1262,4178,3235,3045,3235,2940,0,0.018,-0.005,0.014,662,517,에스에스알,0.014
3197,20250703,439580,115743,115742,125947,5190,4715,5290,4880,97,7,4910,4.140,4940,4880,16,7,78.900,4711427,2598080,2049981,12313,13550,540,1.740,8.960,8.540,891,185059,7570,4715,8410,3005,2,0.005,-0.017,-0.014,547,603,블루엠텍,-0.014
3196,20250703,246960,114656,114656,124911,3450,3135,3760,3190,115,30,3245,3.340,3245,3210,0,16,78.790,1001008,556284,438317,3444,4051,464,0.730,3.710,3.340,2503,3475,4040,1988,4040,1898,0,0.009,-0.014,0.004,509,499,SCL사이언스,0.004
3195,20250703,290690,114418,114417,124627,5280,4795,5700,4870,98,9,5010,8.790,5090,4870,19,9,96.070,21430536,10441886,10031493,40169,45201,33,1.320,8.790,7.940,102805,4872,5610,3590,5610,3150,0,0.022,-0.084,-0.069,461,620,소룩스,-0.048
3194,20250703,224060,113936,113934,124152,3890,3535,3990,3170,120,6,3195,0.630,3205,3170,16,6,103.400,397144,188560,194962,2692,4115,12,2.440,12.170,10.190,12955,5392,3560,3035,3560,2840,0,0.039,-0.004,0.011,614,448,더코디,0.011
3193,20250703,224060,113611,113611,123821,3495,3175,3990,3195,113,19,3200,0.790,3205,3195,9,19,103.490,395934,187875,194437,2686,4111,12,2.440,12.430,10.740,12861,5324,3560,3035,3560,2840,0,0.037,-0.011,0.009,614,437,더코디,0.009
3192,20250703,044340,112735,112729,122942,8470,7700,8660,7920,82,2,7980,2.970,8330,7920,20,2,89.420,3419952,1773628,1585929,13807,14780,104,1.820,8.370,6.960,1399,318,7750,6000,7750,5100,4,0.002,-0.028,-0.016,453,529,위닉스,-0.016
3191,20250703,299660,112606,112605,122811,4960,4505,4995,4545,118,21,4615,6.340,4640,4570,3,20,96.590,6300509,3119784,3013436,16332,17322,448,2.210,8.960,7.490,851,896,8890,4000,8890,2718,4,0.003,-0.044,-0.025,419,561,셀리드,-0.025
3190,20250703,038950,112547,112546,122754,3740,3390,3900,3390,112,82,3425,1.030,3425,3405,0,8,101.260,125249,61326,62101,949,1287,362,1.080,6.470,5.060,7960,68449,3470,3275,3490,3200,2,0.008,-0.011,0.007,752,452,파인디지털,0.007
3189,20250703,340440,111608,111608,121823,1677,1524,1791,1667,74,0,1667,20.190,1722,1667,20,0,93.050,9732198,4924960,4582861,15410,16981,581,10.890,29.910,20.120,27299,16128,1427,1268,1591,1095,2,0.080,-0.048,0.080,739,690,세림B&G,-0.048
3188,20250703,065060,111509,111509,121716,1309,1190,1473,1258,112,41,1364,14.720,1374,1338,15,6,84.720,2217023,1190537,1008657,6916,9110,32,1.080,30.000,14.720,14908,3055,-1,-1,-1,-1,0,0.019,-0.102,-0.055,654,593,지엔코,-0.048
3187,20250703,064090,111326,111321,121535,2160,1961,2160,2065,4,110,2155,9.890,2160,2115,4,20,183.050,240570,82501,151018,339,577,110,0.230,10.150,8.950,502,21111,-1,-1,-1,-1,0,0.047,-0.004,0.024,754,450,인크레더블버즈,0.024
3186,20250703,009730,111111,111104,121315,857,779,895,820,7,116,880,11.530,895,847,7,20,149.040,2507212,974224,1451966,4334,4981,223,2.150,11.280,3.810,2130,1886,970,775,1125,775,0,0.062,-0.022,0.015,504,429,이렘,0.015
3185,20250703,037230,110626,110624,120831,2200,2000,2350,2105,53,107,2150,7.500,2195,2145,11,0,93.830,4970787,2531565,2375413,7145,9301,581,11.990,29.910,23.790,27284,15544,2060,1917,2505,1554,0,0.040,-0.042,0.019,567,695,한국팩키지,0.019
3184,20250703,285800,110600,110552,120803,2410,2190,2475,2285,54,19,2300,4.780,2320,2285,11,19,90.190,1414106,737223,664926,2345,3080,581,12.160,29.910,24.080,27284,15524,2410,2145,2775,1938,0,0.007,-0.017,0.007,719,399,진영,0.007
3183,20250703,217270,110450,110450,120659,10710,9730,10860,10310,120,55,10610,24.090,10670,10370,9,16,104.280,1980113,964173,1005439,7914,9902,42,1.600,24.090,4.470,11682,4355,9310,6460,9310,6320,0,0.006,-0.032,-0.027,406,750,넵튠,-0.027
3182,20250703,465320,110446,110446,120656,2380,2160,2440,2110,119,114,2120,-1.850,2125,2115,20,4,79.280,162722,87924,69706,587,603,284,-0.240,1.590,0.730,116,0,2175,2140,2175,2075,0,0.015,-0.002,0.007,624,373,교보15호스팩,0.007
3181,20250703,084370,110037,110035,120241,42850,38950,43500,42000,119,31,42750,13.100,42900,42600,5,2,219.790,394351,120664,265212,5199,7312,370,4.290,13.100,9.260,11586,10858,39700,31150,39700,31150,1,0.028,-0.021,0.005,640,567,유진테크,0.005
3180,20250703,340440,105839,105832,120047,1525,1386,1791,1518,39,120,1727,24.510,1747,1692,20,15,96.650,9035228,4480498,4330353,14061,15795,581,12.250,29.910,24.440,27267,14940,1427,1268,1591,1095,2,0.042,-0.081,0.042,739,690,세림B&G,-0.048
3179,20250703,054920,105023,105021,115231,3985,3620,4220,3635,116,21,3655,1.110,3660,3640,1,5,81.900,3019689,1575737,1290521,6474,6022,343,0.930,3.600,3.530,9534,799,4100,2695,4100,2480,9,0.019,-0.010,-0.006,412,556,한컴위드,-0.006
3178,20250703,303030,104850,104848,115104,1049,953,1068,1042,112,24,1056,-7.370,1061,1048,15,2,120.920,1856359,719362,869873,1635,2312,307,2.020,10.840,8.000,27832,30667,1231,981,1231,785,0,0.019,-0.015,0.001,354,550,지니틱스,0.001
3177,20250703,290690,104626,104626,114840,4725,4295,5310,4355,2,32,5290,14.880,5310,4515,2,20,109.230,12352228,5446128,5948943,22164,26711,33,1.310,14.770,7.360,55023,4683,5610,3590,5610,3150,0,0.062,-0.132,-0.118,353,620,소룩스,-0.048
