,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
8171,2024-11-13,001020,0,1,0.0,0.134,-0.0142,0.107,859,712996,-1,0.0,859,0,0.0244,0,-0.057,4,0.007,0.0
8170,2024-11-12,475960,0,2,0.0479,0.2896,0.0314,0.2376,15000,13584104,-1,-0.0293,14560,0,-0.02,0,-0.064,2,-0.0433,0.0
8169,2024-11-12,466100,0,2,0.0037,0.2108,-0.0196,0.1238,9170,20978824,-1,-0.0196,8990,0,0.1603,58,-0.0229,0,0.1549,0.0
8168,2024-11-12,460930,0,2,0.0589,0.2067,0.0534,0.1348,16580,11998877,-1,-0.0283,16110,4,-0.0175,57,-0.0561,17,-0.0235,0.0
8167,2024-11-12,419080,0,2,0.0,0.2119,-0.002,0.1648,11380,229831,-1,-0.0176,11180,0,-0.0035,2,-0.051,51,-0.0457,0.0
8166,2024-11-12,370090,0,2,0.0611,0.1908,0.0585,0.1247,22100,1496395,-1,0.0362,22900,4,0.0814,2,0.0045,57,0.0136,-0.021810461300907136
8165,2024-11-12,361390,0,2,0.0135,0.1696,0.0135,0.1237,20800,2690123,-1,0.0337,21500,0,0.0649,4,-0.0072,55,-0.0024,-0.03492309180613329
8164,2024-11-12,357880,0,2,0.0024,0.2665,-0.0189,0.1085,2350,3831683,-1,0.0213,2400,2,0.1191,0,-0.0319,31,0.0596,-0.05
8163,2024-11-12,314930,0,2,0.0066,0.1154,0.0036,0.1026,21600,2029449,-1,0.0,21600,1,0.0116,13,-0.0255,6,-0.0162,0.0
8162,2024-11-12,270520,0,2,0.0364,0.3,0.0364,0.3,1287,25409170,526,0.0109,1301,2,0.1033,3,-0.0591,52,-0.042,-0.05
8161,2024-11-12,246720,0,2,0.0,0.168,0.0,0.1314,4950,209501,-1,0.0,4950,0,0.0,0,-0.0808,6,-0.0293,0.0
8160,2024-11-12,227950,0,2,0.0,0.2979,-0.0023,0.2979,562,18752823,593,0.048,589,0,0.0712,1,-0.0854,32,-0.073,-0.05
8159,2024-11-12,225190,0,2,-0.0057,0.2983,-0.0057,0.2983,3395,53960793,737,0.0427,3540,0,0.1075,12,0.0088,44,0.025,-0.016975160640644527
