,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2602,2025-01-24,062970,-0.041,-0.004,-0.057,-0.051,79,480,5547777,3317871,1966207,16420,19803,6860,-0.034,-0.025,-0.108,2518389,0.093,0.08,136,760,100830,153000,6710,6400,-0.0462,한국첨단소재
2601,2025-01-24,011080,-0.004,0.05,-0.036,-0.031,268,40,2786077,1507471,1225377,2051,2656,975,0.046,0.072,-0.016,1241407,0.09,0.08,174,481,102730,130100,1047,1142,0.09074,형지I&C
2600,2025-01-24,006050,0.015,0.015,-0.069,-0.036,0,25,1107626,616157,425504,1259,1145,1709,0.027,0.129,0.013,3512141,0.115,0.08,91,760,94600,153000,1933,1870,-0.03259,국영지앤엠
2599,2025-01-24,002630,-0.014,0.02,-0.058,-0.053,265,748,7349085,4261647,2927351,5136,6178,1272,0.05,0.09,0.001,3853080,0.089,0.08,164,475,102230,125800,1388,1512,0.08934,오리엔트바이오
2598,2025-01-23,437730,0.048,0.114,0.015,0.074,635,100,5803513,2916035,2695456,24377,23952,10430,0.003,0.079,-0.015,2513830,0.095,0.08,432,760,123630,153000,11270,10900,-0.03283,삼현
2597,2025-01-23,432720,0.005,0.012,-0.015,0.007,754,167,588068,322394,227859,3103,3603,12060,0.021,0.11,-0.009,2142402,0.121,0.08,295,760,112800,153000,13410,13350,-0.00447,퀄리타스반도체
2596,2025-01-23,123010,0.151,0.3,0.07,0.3,743,424,14112571,6705246,7142049,14765,18804,1626,-0.028,0.138,-0.041,9313561,0.132,0.08,92,595,94630,135800,1853,1705,-0.07987,아이윈플러스
2595,2025-01-23,098460,-0.013,-0.004,-0.073,-0.014,1,362,17232645,8135207,7429781,39321,55909,14380,0.039,0.101,0.015,13050036,0.085,0.08,90,760,94530,153000,15860,15670,-0.01198,고영
2594,2025-01-23,069540,0.0,0.3,0.0,0.3,87,0,13310597,7619225,5254595,10302,15631,1219,0.086,0.086,-0.052,4894432,0.145,0.08,101,149,95100,101500,1326,1520,0.1463,빛과전자
2593,2025-01-23,038680,0.04,0.066,-0.011,0.008,31,101,459429,250378,192863,1122,2142,4310,0.0,0.097,0.0,1369744,0.097,0.08,103,447,95200,124400,4735,4355,-0.08025,에스넷
2592,2025-01-23,025750,-0.03,-0.02,-0.085,-0.07,2,137,3501993,2254067,1118790,2725,3487,958,0.014,0.096,0.008,1561884,0.087,0.08,162,292,102130,112630,1052,1145,0.0884,한솔홈데코
2591,2025-01-23,019490,0.031,0.041,-0.3,-0.3,1,355,76722013,44358055,30232580,31502,36355,973,0.025,0.037,-0.069,10275967,0.114,0.08,184,760,103230,153000,1011,946,-0.06429,하이트론
2590,2025-01-23,014160,-0.012,0.064,-0.028,0.0,266,51,11682155,6117958,5271787,12202,14414,1730,0.03,0.121,0.01,11710244,0.109,0.08,360,447,120030,124400,1942,2155,0.10968,대영포장
2589,2025-01-22,474170,0.148,0.179,0.029,0.041,14,705,3005646,1710270,1126242,14093,12759,9850,0.031,0.12,0.024,1833446,0.093,0.08,146,287,101330,112400,11050,12090,0.09412,루미르
2588,2025-01-22,119850,0.017,0.197,-0.006,0.056,202,424,8542018,4652374,3748371,32653,32177,10150,0.014,0.163,0.008,3202365,0.108,0.08,101,179,95100,103000,11820,13100,0.10829,지엔씨에너지
2587,2025-01-22,096350,0.0,0.288,0.0,0.18,464,0,42933662,20425624,21582086,20926,33606,373,-0.008,0.142,-0.011,12656147,0.127,0.08,90,706,94530,145330,427,393,-0.07963,대창솔루션
2586,2025-01-22,083650,0.007,0.067,-0.01,0.05,198,2,2684290,1304900,1300536,13106,14481,18440,0.027,0.182,0.02,7575877,0.089,0.08,92,760,94630,153000,21850,20900,-0.04348,비에이치아이
2585,2025-01-22,036000,0.245,0.299,0.099,0.169,5,74,13818127,8002821,5311744,24884,26344,2600,-0.021,0.113,-0.058,4524958,0.157,0.08,119,691,100000,144600,2900,2665,-0.08103,예림당
2584,2025-01-22,033500,0.01,0.079,0.009,0.068,736,0,1786918,804826,958571,11766,12633,19640,0.041,0.128,0.029,1465880,0.097,0.08,435,760,123800,153000,22200,21450,-0.03378,동성화인텍
2583,2025-01-22,018290,0.011,0.052,0.011,0.027,23,0,799414,370584,403829,7062,7329,35900,0.014,0.079,-0.019,1183343,0.101,0.08,90,760,94530,153000,38800,37150,-0.04253,브이티
2582,2025-01-22,070960,0.002,0.3,-0.029,0.082,347,200,6589004,3658535,2770727,18882,14432,3415,0.006,0.078,-0.004,1046703,0.082,0.08,279,760,112000,153000,3685,3700,0.00407,모나용평
2581,2025-01-22,042670,0.039,0.039,0.014,0.017,0,0,1735703,727558,889431,3244,4748,7300,0.01,0.085,0.001,2314901,0.083,0.08,144,760,101230,153000,7940,7960,0.00252,HD현대인프라코어
2580,2025-01-21,005010,0.01,0.089,0.01,0.06,74,0,3819568,1586160,2177065,6246,7794,4650,0.043,0.056,-0.024,1361476,0.081,0.08,629,760,141500,153000,4915,4830,-0.01729,휴스틸
2579,2025-01-21,002630,0.035,0.124,-0.002,-0.001,4,130,13249029,7443583,5465995,10501,10339,1329,0.033,0.033,-0.052,2631322,0.09,0.08,665,760,143300,153000,1375,1387,0.00873,오리엔트바이오
2578,2025-01-20,376930,-0.013,-0.009,-0.039,-0.024,0,26,964181,597746,329694,1265,1578,3100,0.005,0.147,0.005,4232584,0.123,0.08,137,760,100900,153000,3560,3490,-0.01966,노을
2577,2025-01-20,123570,0.002,0.04,-0.01,0.018,213,78,471548,251862,197901,794,955,2550,0.02,0.098,0.01,1181793,0.087,0.08,182,191,103130,103600,2805,2580,-0.08021,이엠넷
2576,2025-01-20,092790,-0.007,0.091,-0.015,0.09,752,2,1340232,504116,794027,3027,6236,8830,0.025,0.174,0.025,3050377,0.096,0.08,105,238,95300,105930,10390,9560,-0.07988,넥스틸
2575,2025-01-17,452190,0.1,0.181,0.056,0.067,2,683,15995080,8347563,7265333,60230,75425,4545,0.003,0.069,-0.01,2389991,0.08,0.08,141,760,101100,153000,4865,4705,-0.03289,한빛레이저
2574,2025-01-17,434480,0.023,0.298,0.018,0.298,668,2,11910657,5800753,5881808,29988,35143,5380,-0.019,0.078,-0.032,5048344,0.113,0.08,99,110,95000,95530,5820,5350,-0.08076,모니터랩
2573,2025-01-17,417200,0.007,0.026,0.007,0.016,123,0,180469,73311,100789,912,1245,12370,0.011,0.188,0.007,2218227,0.084,0.08,100,113,95030,95700,14720,15970,0.08492,LS머트리얼즈
